"date","state","smoothed_cases","smoothed_deaths","smoothed_pct_hh_cli_weighted","smoothed_pct_cmnty_cli_weighted","smoothed_pct_hh_fever_weighted","smoothed_pct_hh_sore_throat_weighted","smoothed_pct_hh_cough_weighted","smoothed_pct_hh_shortness_of_breath_weighted","smoothed_pct_self_fever_weighted","smoothed_pct_self_sore_throat_weighted","smoothed_pct_self_anosmia_ageusia_weighted","smoothed_pct_contact_covid_positive_weighted"
2020-04-14,"LA",501,63.4285714285714,1.5614,0,1.911,8.5859,20.7281,6.3783,1.197,7.0065,2.0505,2.3723
2020-04-14,"MA",1825.14285714286,137.857142857143,1.04,0,1.3944,8.6913,17.151,5.7714,0.8889,6.9595,1.6509,1.6426
2020-04-14,"MD",687.714285714286,45.7142857142857,0.8832,0,1.1647,7.7845,17.7849,5.4975,0.7393,6.4847,1.3658,1.1995
2020-04-14,"ME",25.2857142857143,2.28571428571429,1.1905,0,1.4483,8.0296,17.9304,6.6755,1.1469,6.7962,1.1861,0.5694
2020-04-14,"MI",919.857142857143,123.285714285714,1.2329,0,1.519,8.0963,18.213,6.3735,1.0403,6.7997,1.6165,1.4852
2020-04-14,"MN",117.142857142857,10.4285714285714,1.1549,0,1.4097,8.5621,18.2033,6.3398,1.0572,7.4271,1.5217,0.8428
2020-04-14,"MO",202.714285714286,9.28571428571429,1.1475,0,1.4607,8.3947,20.2409,7.1018,1.0204,7.0696,1.2618,1.062
2020-04-14,"MS",224.285714285714,10.1428571428571,1.3078,0,1.5701,8.028,21.4321,6.7868,1.0459,6.577,1.5111,1.42
2020-04-14,"MT",5.57142857142857,0.714285714285714,1.4847,0,1.7835,8.5907,20.7622,7.286,1.3385,6.9366,1.5326,0.8931
2020-04-14,"NC",282.285714285714,13.7142857142857,1.1107,0,1.4282,7.1497,18.2883,5.6919,0.9889,6.0783,1.1462,0.8625
2020-04-14,"ND",42.2857142857143,0.571428571428571,0.878,0,1.3042,9.2557,16.6553,5.2703,0.9398,8.4721,1.006,0.8063
2020-04-14,"NE",110.857142857143,2,1.1178,0,1.4998,9.2396,19.8494,6.5758,1.1542,8.0115,1.6503,0.768
2020-04-14,"NH",61,2.71428571428571,1.2767,0,1.5095,8.2706,18.4715,7.0139,0.8123,7.3594,1.0636,1.0745
2020-04-14,"NJ",3460.28571428571,276.285714285714,1.9373,0,2.436,8.9377,17.8301,5.9132,1.4664,7.0003,2.6233,2.5728
